,scale_factor,resolution,data_file
T1_nonlinear,5.550105992097339,1mm,T1/T1_brain_to_MNI.nii.gz
T1_linear,5.678573626611138,1mm,T1/T1_brain_to_MNI_linear.nii.gz
tracts,0.4124346388811107,1mm,dMRI/autoptx_preproc/tractsNormSummed.nii.gz
vbm,3.5557272989543303,2mm,T1/T1_vbm/T1_GM_to_template_GM_mod.nii.gz
T2_nonlinear,5.238670777324034,1mm,T2_FLAIR/T2_FLAIR_brain_to_MNI.nii.gz
swi,76.58003036598346,1mm,SWI/T2star_to_MNI.nii.gz
rsfmri_0,20.728237795548115,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_1,24.21718470893361,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_2,22.798476153282678,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_3,13.635601793506385,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_4,24.134366127688306,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_5,24.69400698508533,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_6,22.814500077847924,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_7,24.875501832163494,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_8,22.86463908488348,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_9,19.85960687776359,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_10,26.29811220471487,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_11,33.704198997377006,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_12,19.954348268683958,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_13,21.677800026540176,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_14,16.058563159005764,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_15,11.633538647644055,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_16,19.881514510804596,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_17,20.792523292880574,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_18,12.15812732950088,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_19,27.652721592734103,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_20,27.726770266526827,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_21,18.798427251020605,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_22,18.12465242692013,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_23,14.522935051754043,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
rsfmri_24,8.34249246943843,2mm,fMRI/rfMRI_25.dr/dr_stage2.nii.gz
tfmri_1,17.279658485759565,2mm,fMRI/tfMRI.feat/reg_standard/stats/zstat1.nii.gz
tfmri_2,18.14799274450244,2mm,fMRI/tfMRI.feat/reg_standard/stats/zstat2.nii.gz
tfmri_5,17.918249464091954,2mm,fMRI/tfMRI.feat/reg_standard/stats/zstat5.nii.gz
tfmri_c_1,2043.971900596805,2mm,fMRI/tfMRI.feat/reg_standard/stats/cope1.nii.gz
tfmri_c_2,2192.8854302320715,2mm,fMRI/tfMRI.feat/reg_standard/stats/cope2.nii.gz
tfmri_c_5,1176.0150066846875,2mm,fMRI/tfMRI.feat/reg_standard/stats/cope5.nii.gz
tbss_FA_s,1.0042794024052375,1mm,dMRI/TBSS/stats/all_FA_skeletonised.nii.gz
tbss_ICVF_s,0.9925121253133944,1mm,dMRI/TBSS/stats/all_ICVF_skeletonised.nii.gz
tbss_ISOVF_s,1.1134083064924885,1mm,dMRI/TBSS/stats/all_ISOVF_skeletonised.nii.gz
tbss_L1_s,0.004701416199979666,1mm,dMRI/TBSS/stats/all_L1_skeletonised.nii.gz
tbss_L2_s,0.0044399855394224455,1mm,dMRI/TBSS/stats/all_L2_skeletonised.nii.gz
tbss_L3_s,0.006459750286890977,1mm,dMRI/TBSS/stats/all_L3_skeletonised.nii.gz
tbss_MD_s,0.004310516669011668,1mm,dMRI/TBSS/stats/all_MD_skeletonised.nii.gz
tbss_MO_s,0.9998573904647013,1mm,dMRI/TBSS/stats/all_MO_skeletonised.nii.gz
tbss_OD_s,1.0044245617496148,1mm,dMRI/TBSS/stats/all_OD_skeletonised.nii.gz
tbss_FA,1.0062827715891904,1mm,dMRI/TBSS/stats/all_FA.nii.gz
tbss_ICVF,0.9900000701169593,1mm,dMRI/TBSS/stats/all_ICVF.nii.gz
tbss_ISOVF,1.1199868990854827,1mm,dMRI/TBSS/stats/all_ISOVF.nii.gz
tbss_L1,0.006963078198596498,1mm,dMRI/TBSS/stats/all_L1.nii.gz
tbss_L2,0.008660389646899838,1mm,dMRI/TBSS/stats/all_L2.nii.gz
tbss_L3,0.010303070805565933,1mm,dMRI/TBSS/stats/all_L3.nii.gz
tbss_MD,0.008239918148755757,1mm,dMRI/TBSS/stats/all_MD.nii.gz
tbss_MO,0.999887349264855,1mm,dMRI/TBSS/stats/all_MO.nii.gz
tbss_OD,1.0,1mm,dMRI/TBSS/stats/all_OD.nii.gz
jacobian,5.5837435863029805,1mm,T1/transforms/T1_to_MNI_warp_jac.nii.gz
T2_lesions,1.0,1mm,T2_FLAIR/lesions/final_mask_to_MNI.nii.gz
